<unk> 1.0	sil
administratorom 1.0	a d m i ni i s t r a t o r o m
administrowania 1.0	a d m i ni i s t r o v a ni a
administrowania 1.0	a d m i ni i s t r o v a ni j a
admirała 1.0	a d m i r a w a
adnotacji 1.0	a d n o t a ts i
adnotacji 1.0	a d n o t a ts j i
adobe 1.0	a d o b e
adopcji 1.0	a d o p ts i
adopcji 1.0	a d o p ts j i
adoptowanym 1.0	a d o p t o v a n I m
adorowanego 1.0	a d o r o v a n e g o
adrenaliny 1.0	a d r e n a l i n I
adres 1.0	a d r e s
adresatem 1.0	a d r e s a t e m
adresatów 1.0	a d r e s a t u f
adresatów 1.0	a d r e s a t u v
adresem 1.0	a d r e s e m
adresowa 1.0	a d r e s o v a
adresów 1.0	a d r e s u f
adresów 1.0	a d r e s u v
adresowana 1.0	a d r e s o v a n a
adresowanej 1.0	a d r e s o v a n e j
adresowany 1.0	a d r e s o v a n I
adresowym 1.0	a d r e s o v I m
adresu 1.0	a d r e s u
adresujesz 1.0	a d r e s u j e S
adresy 1.0	a d r e s I
adrian 1.0	a d r j a n
adriatyku 1.0	a d r j a t I k u
adwent 1.0	a d v e n t
adwersarzem 1.0	a d v e r s a Z e m
adwokacką 1.0	a d v o k a ts k o m
adwokacką 1.0	a d v o k a ts k on
adwokackiego 1.0	a d v o k a ts k j e g o
adwokata 1.0	a d v o k a t a
adwokat 1.0	a d v o k a t
adwokatem 1.0	a d v o k a t e m
adwokatom 1.0	a d v o k a t o m
adwokatów 1.0	a d v o k a t u f
adwokatów 1.0	a d v o k a t u v
adygi 1.0	a d I g i
aero 1.0	a e r o
aerob 1.0	a e r o b
aerob 1.0	a e r o p
aerobiku 1.0	a e r o b i k u
aerodynamicznym 1.0	a e r o d I n a m i tS n I m
aerodynamiką 1.0	a e r o d I n a m i k o m
aerodynamiką 1.0	a e r o d I n a m i k on
aeronauta 1.0	a e r o n a u t a
aeronauta 1.0	a e r o n a w t a
aerozolu 1.0	a e r o z o l u
afera 1.0	a f e r a
aferą 1.0	a f e r o m
aferą 1.0	a f e r on
aferę 1.0	a f e r e
aferę 1.0	a f e r en
afery 1.0	a f e r I
aferze 1.0	a f e Z e
aferzystów 1.0	a f e Z I s t u f
aferzystów 1.0	a f e Z I s t u v
afganistanie 1.0	a f g a ni i s t a ni e
afganistanie 1.0	a f g a ni i s t a ni j e
afganistanie 1.0	a v g a ni i s t a ni e
afganistanie 1.0	a v g a ni i s t a ni j e
afgańskich 1.0	a f g a ni s k i x
afgańskich 1.0	a v g a ni s k i x
afirmatywki 1.0	a f i r m a t I f k i
afirmatywki 1.0	a f i r m a t I v k i
afiszach 1.0	a f i S a x
afroamerykańskiej 1.0	a f r o a m e r I k a ni s k j e j
afrodyta 1.0	a f r o d I t a
afrodyzjaki 1.0	a f r o d I z j a k i
afryce 1.0	a f r I ts e
afryka 1.0	a f r I k a
afryką 1.0	a f r I k o m
afryką 1.0	a f r I k on
afrykańczycy 1.0	a f r I k a ni tS I ts I
afrykańczyka 1.0	a f r I k a ni tS I k a
afrykańczykach 1.0	a f r I k a ni tS I k a x
afrykańczyków 1.0	a f r I k a ni tS I k u f
afrykańczyków 1.0	a f r I k a ni tS I k u v
afrykańczykowi 1.0	a f r I k a ni tS I k o v i
afrykanie 1.0	a f r I k a ni e
afrykanie 1.0	a f r I k a ni j e
afrykanina 1.0	a f r I k a ni i n a
afrykanów 1.0	a f r I k a n u f
afrykanów 1.0	a f r I k a n u v
afrykańscy 1.0	a f r I k a ni s ts I
afrykańska 1.0	a f r I k a ni s k a
afrykański 1.0	a f r I k a ni s k i
afrykańskich 1.0	a f r I k a ni s k i x
afrykańskie 1.0	a f r I k a ni s k j e
afrykańskiego 1.0	a f r I k a ni s k j e g o
afrykańskiej 1.0	a f r I k a ni s k j e j
afrykańskim 1.0	a f r I k a ni s k i m
afrykańskimi 1.0	a f r I k a ni s k i m i
afrykę 1.0	a f r I k e
afrykę 1.0	a f r I k en
afryki 1.0	a f r I k i
agata 1.0	a g a t a
agenci 1.0	a g e ni tsi i
agenci 1.0	a g e n tsi i
agencja 1.0	a g e n ts j a
agencją 1.0	a g e n ts j o m
agencją 1.0	a g e n ts j on
agencjach 1.0	a g e n ts j a x
agencje 1.0	a g e n ts j e
agencję 1.0	a g e n ts j e
agencję 1.0	a g e n ts j en
agencji 1.0	a g e n ts i
agencji 1.0	a g e n ts j i
agencyjnym 1.0	a g e n ts I j n I m
agenta 1.0	a g e n t a
agent 1.0	a g e n t
agentami 1.0	a g e n t a m i
agentce 1.0	a g e n t ts e
agentem 1.0	a g e n t e m
agentów 1.0	a g e n t u f
agentów 1.0	a g e n t u v
agenturalne 1.0	a g e n t u r a l n e
agenturę 1.0	a g e n t u r e
agenturę 1.0	a g e n t u r en
agentury 1.0	a g e n t u r I
agenturze 1.0	a g e n t u Z e
agitacyjna 1.0	a g i t a ts I j n a
agitatora 1.0	a g i t a t o r a
aglomeracjach 1.0	a g l o m e r a ts j a x
aglomeracji 1.0	a g l o m e r a ts i
aglomeracji 1.0	a g l o m e r a ts j i
agnieszka 1.0	a g ni e S k a
agnieszki 1.0	a g ni e S k i
agonia 1.0	a g o ni a
agonia 1.0	a g o ni j a
agonii 1.0	a g o ni i
agonii 1.0	a g o ni j i
agora 1.0	a g o r a
agory 1.0	a g o r I
agrafy 1.0	a g r a f I
agreguje 1.0	a g r e g u j e
agresja 1.0	a g r e s j a
agresję 1.0	a g r e s j e
agresję 1.0	a g r e s j en
agresji 1.0	a g r e s i
agresji 1.0	a g r e s j i
agresora 1.0	a g r e s o r a
agresorom 1.0	a g r e s o r o m
agrestu 1.0	a g r e s t u
agresywne 1.0	a g r e s I v n e
agresywni 1.0	a g r e s I v ni i
agresywnie 1.0	a g r e s I v ni e
agresywnością 1.0	a g r e s I v n o si tsi o m
agresywnością 1.0	a g r e s I v n o si tsi on
agresywności 1.0	a g r e s I v n o si tsi i
agresywny 1.0	a g r e s I v n I
agresywnych 1.0	a g r e s I v n I x
agresywnym 1.0	a g r e s I v n I m
agro 1.0	a g r o
agrykoli 1.0	a g r I k o l i
aha 1.0	a x a
ahamadowie 1.0	a x a m a d o v j e
ahmada 1.0	a x m a d a
aids 1.0	e j d s
aikido 1.0	a i k i d o
aikido 1.0	a j i k i d o
aisis 1.0	a i si i s
aisis 1.0	a j i si i s
ajudahu 1.0	a j u d a x u
akaakowin 1.0	a k a a k o v i n
akademia 1.0	a k a d e m j a
akademicką 1.0	a k a d e m i ts k o m
akademicką 1.0	a k a d e m i ts k on
akademickich 1.0	a k a d e m i ts k i x
akademickiej 1.0	a k a d e m i ts k j e j
akademie 1.0	a k a d e m j e
akademii 1.0	a k a d e m i
akademii 1.0	a k a d e m j i
akademikiem 1.0	a k a d e m i k j e m
akademików 1.0	a k a d e m i k u f
akademików 1.0	a k a d e m i k u v
ak 1.0	a k a
akapicie 1.0	a k a p i tsi e
akapitach 1.0	a k a p i t a x
akapit 1.0	a k a p i t
akapity 1.0	a k a p i t I
akceleracji 1.0	a k ts e l e r a ts i
akceleracji 1.0	a k ts e l e r a ts j i
akceleratora 1.0	a k ts e l e r a t o r a
akcentach 1.0	a k ts e n t a x
akcentem 1.0	a k ts e n t e m
akcentów 1.0	a k ts e n t u f
akcentów 1.0	a k ts e n t u v
akcentują 1.0	a k ts e n t u j o m
akcentują 1.0	a k ts e n t u j on
akcentująca 1.0	a k ts e n t u j o n ts a
akcentująca 1.0	a k ts e n t u j on ts a
akcentującej 1.0	a k ts e n t u j o n ts e j
akcentującej 1.0	a k ts e n t u j on ts e j
akceptacja 1.0	a k ts e p t a ts j a
akceptacją 1.0	a k ts e p t a ts j o m
akceptacją 1.0	a k ts e p t a ts j on
akceptację 1.0	a k ts e p t a ts j e
akceptację 1.0	a k ts e p t a ts j en
akceptacji 1.0	a k ts e p t a ts i
akceptacji 1.0	a k ts e p t a ts j i
akceptować 1.0	a k ts e p t o v a tsi
akceptował 1.0	a k ts e p t o v a w
akceptowali 1.0	a k ts e p t o v a l i
akceptowana 1.0	a k ts e p t o v a n a
akceptowanej 1.0	a k ts e p t o v a n e j
akceptowanych 1.0	a k ts e p t o v a n I x
akceptują 1.0	a k ts e p t u j o m
akceptują 1.0	a k ts e p t u j on
akceptuje 1.0	a k ts e p t u j e
akces 1.0	a k ts e s
akcesoria 1.0	a k ts e s o r j a
akcesorium 1.0	a k ts e s o r j u m
akcie 1.0	a k tsi e
akcja 1.0	a k ts j a
akcją 1.0	a k ts j o m
akcją 1.0	a k ts j on
akcjach 1.0	a k ts j a x
akcje 1.0	a k ts j e
akcję 1.0	a k ts j e
akcję 1.0	a k ts j en
akcji 1.0	a k ts i
akcji 1.0	a k ts j i
akcjonariatu 1.0	a k ts j o n a r j a t u
akcjonariusza 1.0	a k ts j o n a r j u S a
akcjonariusz 1.0	a k ts j o n a r j u S
akcjonariuszami 1.0	a k ts j o n a r j u S a m i
akcjonariusze 1.0	a k ts j o n a r j u S e
akcjonariuszem 1.0	a k ts j o n a r j u S e m
akcjonariuszowi 1.0	a k ts j o n a r j u S o v i
akcjonariuszy 1.0	a k ts j o n a r j u S I
akcyjna 1.0	a k ts I j n a
akcyjną 1.0	a k ts I j n o m
akcyjną 1.0	a k ts I j n on
akcyjnej 1.0	a k ts I j n e j
akcyjnych 1.0	a k ts I j n I x
akcyzą 1.0	a k ts I z o m
akcyzą 1.0	a k ts I z on
akcyzowych 1.0	a k ts I z o v I x
akcyzowym 1.0	a k ts I z o v I m
akcyzy 1.0	a k ts I z I
akolici 1.0	a k o l i tsi i
akompaniamencie 1.0	a k o m p a ni a m e ni tsi e
akompaniamencie 1.0	a k o m p a ni a m e n tsi e
akompaniamencie 1.0	a k o m p a ni j a m e ni tsi e
akompaniamencie 1.0	a k o m p a ni j a m e n tsi e
akompaniamentem 1.0	a k o m p a ni a m e n t e m
akompaniamentem 1.0	a k o m p a ni j a m e n t e m
akordy 1.0	a k o r d I
akowców 1.0	a k o f ts u f
akowców 1.0	a k o f ts u v
akowców 1.0	a k o v ts u f
akowców 1.0	a k o v ts u v
akrę 1.0	a k r e
akrę 1.0	a k r en
akredytacji 1.0	a k r e d I t a ts i
akredytacji 1.0	a k r e d I t a ts j i
akredytacyjny 1.0	a k r e d I t a ts I j n I
akropolu 1.0	a k r o p o l u
akroterionami 1.0	a k r o t e r j o n a m i
akrze 1.0	a k S e
aksamitne 1.0	a k s a m i t n e
aksamitnym 1.0	a k s a m i t n I m
aksjomat 1.0	a k s j o m a t
aksjomatów 1.0	a k s j o m a t u f
aksjomatów 1.0	a k s j o m a t u v
aksjomatyki 1.0	a k s j o m a t I k i
aksonów 1.0	a k s o n u f
aksonów 1.0	a k s o n u v
akta 1.0	a k t a
aktach 1.0	a k t a x
akt 1.0	a k t
aktami 1.0	a k t a m i
aktem 1.0	a k t e m
aktiva 1.0	a k t i v a
aktora 1.0	a k t o r a
aktor 1.0	a k t o r
aktorami 1.0	a k t o r a m i
aktorek 1.0	a k t o r e k
aktorem 1.0	a k t o r e m
aktorka 1.0	a k t o r k a
aktorów 1.0	a k t o r u f
aktorów 1.0	a k t o r u v
aktorskiej 1.0	a k t o r s k j e j
aktorstwa 1.0	a k t o r s t f a
aktorstwem 1.0	a k t o r s t f e m
aktorzy 1.0	a k t o Z I
aktów 1.0	a k t u f
aktów 1.0	a k t u v
aktu 1.0	a k t u
aktualizacja 1.0	a k t u a l i z a ts j a
aktualizacja 1.0	a k t u w a l i z a ts j a
aktualizacje 1.0	a k t u a l i z a ts j e
aktualizację 1.0	a k t u a l i z a ts j e
aktualizację 1.0	a k t u a l i z a ts j en
aktualizacje 1.0	a k t u w a l i z a ts j e
aktualizację 1.0	a k t u w a l i z a ts j e
aktualizację 1.0	a k t u w a l i z a ts j en
aktualizacji 1.0	a k t u a l i z a ts i
aktualizacji 1.0	a k t u a l i z a ts j i
aktualizacji 1.0	a k t u w a l i z a ts i
aktualizacji 1.0	a k t u w a l i z a ts j i
aktualizowane 1.0	a k t u a l i z o v a n e
aktualizowane 1.0	a k t u w a l i z o v a n e
aktualną 1.0	a k t u a l n o m
aktualną 1.0	a k t u a l n on
aktualną 1.0	a k t u w a l n o m
aktualną 1.0	a k t u w a l n on
aktualne 1.0	a k t u a l n e
aktualne 1.0	a k t u w a l n e
aktualnego 1.0	a k t u a l n e g o
aktualnego 1.0	a k t u w a l n e g o
aktualnej 1.0	a k t u a l n e j
aktualnej 1.0	a k t u w a l n e j
aktualnie 1.0	a k t u a l ni e
aktualnie 1.0	a k t u w a l ni e
aktualność 1.0	a k t u a l n o si tsi
aktualność 1.0	a k t u w a l n o si tsi
aktualnością 1.0	a k t u a l n o si tsi o m
aktualnością 1.0	a k t u a l n o si tsi on
aktualnością 1.0	a k t u w a l n o si tsi o m
aktualnością 1.0	a k t u w a l n o si tsi on
aktualności 1.0	a k t u a l n o si tsi i
aktualności 1.0	a k t u w a l n o si tsi i
aktualny 1.0	a k t u a l n I
aktualny 1.0	a k t u w a l n I
aktualnych 1.0	a k t u a l n I x
aktualnych 1.0	a k t u w a l n I x
aktualnym 1.0	a k t u a l n I m
aktualnym 1.0	a k t u w a l n I m
akty 1.0	a k t I
aktywa 1.0	a k t I v a
aktywacja 1.0	a k t I v a ts j a
aktywację 1.0	a k t I v a ts j e
aktywację 1.0	a k t I v a ts j en
aktywami 1.0	a k t I v a m i
aktywizacja 1.0	a k t I v i z a ts j a
aktywną 1.0	a k t I v n o m
aktywną 1.0	a k t I v n on
aktywne 1.0	a k t I v n e
aktywnego 1.0	a k t I v n e g o
aktywnej 1.0	a k t I v n e j
aktywnie 1.0	a k t I v ni e
aktywniejszym 1.0	a k t I v ni e j S I m
aktywność 1.0	a k t I v n o si tsi
aktywności 1.0	a k t I v n o si tsi i
aktywny 1.0	a k t I v n I
aktywnych 1.0	a k t I v n I x
aktywnym 1.0	a k t I v n I m
aktywów 1.0	a k t I v u f
aktywów 1.0	a k t I v u v
aktywowano 1.0	a k t I v o v a n o
aktywuje 1.0	a k t I v u j e
akumulator 1.0	a k u m u l a t o r
akurat 1.0	a k u r a t
akuratny 1.0	a k u r a t n I
akustycznych 1.0	a k u s t I tS n I x
akustykę 1.0	a k u s t I k e
akustykę 1.0	a k u s t I k en
akwaerobiku 1.0	a k f a e r o b i k u
akwarium 1.0	a k f a r j u m
akwedukty 1.0	a k f e d u k t I
akwen 1.0	a k f e n
akwizgranu 1.0	a k f i z g r a n u
alarm 1.0	a l a r m
alarmistyczny 1.0	a l a r m i s t I tS n I
alarmowym 1.0	a l a r m o v I m
alarmu 1.0	a l a r m u
alarmują 1.0	a l a r m u j o m
alarmują 1.0	a l a r m u j on
alarmy 1.0	a l a r m I
alaskę 1.0	a l a s k e
alaskę 1.0	a l a s k en
albańczycy 1.0	a l b a ni tS I ts I
albańczyków 1.0	a l b a ni tS I k u f
albańczyków 1.0	a l b a ni tS I k u v
albańskiej 1.0	a l b a ni s k j e j
alberta 1.0	a l b e r t a
albert 1.0	a l b e r t
albertowi 1.0	a l b e r t o v i
albo 1.0	a l b o
albowiem 1.0	a l b o v j e m
album 1.0	a l b u m
albumem 1.0	a l b u m e m
albumy 1.0	a l b u m I
alchemią 1.0	a l x e m j o m
alchemią 1.0	a l x e m j on
alchemii 1.0	a l x e m i
alchemii 1.0	a l x e m j i
ale 1.0	a l e
alego 1.0	a l e g o
alegorii 1.0	a l e g o r i
alegorii 1.0	a l e g o r j i
alei 1.0	a l e i
alei 1.0	a l e j i
alej 1.0	a l e j
aleje 1.0	a l e j e
aleję 1.0	a l e j e
aleję 1.0	a l e j en
aleji 1.0	a l e i
aleji 1.0	a l e j i
aleksander 1.0	a l e k s a n d e r
aleksandra 1.0	a l e k s a n d r a
aleksandrii 1.0	a l e k s a n d r i
aleksandrii 1.0	a l e k s a n d r j i
aleksandry 1.0	a l e k s a n d r I
aleksandryjskiej 1.0	a l e k s a n d r I j s k j e j
alepierdzielinojużniemogę 1.0	a l e p j e r dzi e l i n o j u Z ni e m o g e
alepierdzielinojużniemogę 1.0	a l e p j e r dzi e l i n o j u Z ni e m o g en
alergiczną 1.0	a l e r g i tS n o m
alergiczną 1.0	a l e r g i tS n on
alergicznie 1.0	a l e r g i tS ni e
alergik 1.0	a l e r g i k
alergików 1.0	a l e r g i k u f
alergików 1.0	a l e r g i k u v
alexander 1.0	a l e k s a n d e r
ależ 1.0	a l e S
ależ 1.0	a l e Z
alfabecie 1.0	a l f a b e tsi e
alfabet 1.0	a l f a b e t
alfabetu 1.0	a l f a b e t u
alfabetycznego 1.0	a l f a b e t I tS n e g o
alfabetycznym 1.0	a l f a b e t I tS n I m
alfanumerycznej 1.0	a l f a n u m e r I tS n e j
alfę 1.0	a l f e
alfę 1.0	a l f en
alfred 1.0	a l f r e d
alfred 1.0	a l f r e t
algierczycy 1.0	a l g j e r tS I ts I
algorytm 1.0	a l g o r I t m
algorytmicznego 1.0	a l g o r I t m i tS n e g o
algorytmów 1.0	a l g o r I t m u f
algorytmów 1.0	a l g o r I t m u v
algorytmu 1.0	a l g o r I t m u
algorytmy 1.0	a l g o r I t m I
alianckiego 1.0	a l j a n ts k j e g o
alianse 1.0	a l j a n s e
aliantów 1.0	a l j a n t u f
aliantów 1.0	a l j a n t u v
alibi 1.0	a l i b i
alicja 1.0	a l i ts j a
alicję 1.0	a l i ts j e
alicję 1.0	a l i ts j en
alicji 1.0	a l i ts i
alicji 1.0	a l i ts j i
alkohol 1.0	a l k o x o l
alkoholem 1.0	a l k o x o l e m
alkoholika 1.0	a l k o x o l i k a
alkoholik 1.0	a l k o x o l i k
alkoholizm 1.0	a l k o x o l i z m
alkoholizmem 1.0	a l k o x o l i z m e m
alkoholizmu 1.0	a l k o x o l i z m u
alkoholu 1.0	a l k o x o l u
alkomat 1.0	a l k o m a t
alkomatowego 1.0	a l k o m a t o v e g o
alkor 1.0	a l k o r
alkowie 1.0	a l k o v j e
alku 1.0	a l k u
allach 1.0	a l a x
allach 1.0	a l l a x
allaha 1.0	a l a x a
allaha 1.0	a l l a x a
allegro 1.0	a l e g r o
allegro 1.0	a l l e g r o
alogicznością 1.0	a l o g i tS n o si tsi o m
alogicznością 1.0	a l o g i tS n o si tsi on
alpach 1.0	a l p a x
alpejskich 1.0	a l p e j s k i x
alpejskiej 1.0	a l p e j s k j e j
alpinistów 1.0	a l p i ni i s t u f
alpinistów 1.0	a l p i ni i s t u v
alpy 1.0	a l p I
alstom 1.0	a l s t o m
alternator 1.0	a l t e r n a t o r
alternatu 1.0	a l t e r n a t u
alternatywą 1.0	a l t e r n a t I v o m
alternatywą 1.0	a l t e r n a t I v on
alternatyw 1.0	a l t e r n a t I f
alternatyw 1.0	a l t e r n a t I v
alternatywne 1.0	a l t e r n a t I v n e
alternatywnie 1.0	a l t e r n a t I v ni e
alternatywny 1.0	a l t e r n a t I v n I
alternatywnych 1.0	a l t e r n a t I v n I x
alternatywy 1.0	a l t e r n a t I v I
altruistki 1.0	a l t r u i s t k i
altruistki 1.0	a l t r u j i s t k i
altruistyczne 1.0	a l t r u i s t I tS n e
altruistyczne 1.0	a l t r u j i s t I tS n e
aluminiową 1.0	a l u m i ni j o v o m
aluminiową 1.0	a l u m i ni j o v on
aluminiową 1.0	a l u m i ni o v o m
aluminiową 1.0	a l u m i ni o v on
alumni 1.0	a l u m ni i
ałun 1.0	a w u n
aluzję 1.0	a l u z j e
aluzję 1.0	a l u z j en
aluzji 1.0	a l u z i
aluzji 1.0	a l u z j i
aluzyjny 1.0	a l u z I j n I
alvaro 1.0	a l v a r o
amanda 1.0	a m a n d a
amant 1.0	a m a n t
amarntową 1.0	a m a r n t o v o m
amarntową 1.0	a m a r n t o v on
amatorom 1.0	a m a t o r o m
amatorów 1.0	a m a t o r u f
amatorów 1.0	a m a t o r u v
amatorski 1.0	a m a t o r s k i
amatorskie 1.0	a m a t o r s k j e
amazonek 1.0	a m a z o n e k
amazonii 1.0	a m a z o ni i
amazonii 1.0	a m a z o ni j i
amazonki 1.0	a m a z o n k i
ambasada 1.0	a m b a s a d a
ambasadą 1.0	a m b a s a d o m
ambasadą 1.0	a m b a s a d on
ambasadom 1.0	a m b a s a d o m
ambasadora 1.0	a m b a s a d o r a
ambasador 1.0	a m b a s a d o r
ambasadorami 1.0	a m b a s a d o r a m i
ambasadorem 1.0	a m b a s a d o r e m
ambasadorzy 1.0	a m b a s a d o Z I
ambasady 1.0	a m b a s a d I
ambicja 1.0	a m b i ts j a
ambicją 1.0	a m b i ts j o m
ambicją 1.0	a m b i ts j on
ambicje 1.0	a m b i ts j e
ambicję 1.0	a m b i ts j e
